shortname: benhoyt_goawk-BuiltinGsubAmpersand
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
Histogram,1.8710000000000003e-08,0%,1.1760000000000001e-07,1%,+528.54%,p=0.008 n=5,1.0280000000000001e-07,1%,+449.44%,p=0.008 n=5
geomean,1.8710000000000033e-08,,1.1759999999999995e-07,,+528.54%,,1.0279999999999991e-07,,+449.44%,

shortname: rcrowley_metrics-Timer
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
Timer,2.3350000000000002e-07,0%,7.242000000000001e-07,2%,+210.15%,p=0.008 n=5,6.414e-07,1%,+174.69%,p=0.008 n=5
geomean,2.3350000000000018e-07,,7.242000000000007e-07,,+210.15%,,6.414000000000005e-07,,+174.69%,

shortname: semver-CheckVersionRange
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
CheckVersionRange,4.5500000000000004e-08,0%,1.1e-07,3%,+141.76%,p=0.008 n=5,9.779000000000002e-08,9%,+114.92%,p=0.008 n=5
geomean,4.550000000000002e-08,,1.1000000000000002e-07,,+141.76%,,9.779000000000004e-08,,+114.92%,

shortname: semver-CoerceNewVersionSimple
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
CoerceNewVersionSimple,1.428e-07,2%,5.013000000000001e-07,3%,+251.05%,p=0.008 n=5,4.304e-07,4%,+201.40%,p=0.008 n=5
geomean,1.4280000000000003e-07,,5.013000000000002e-07,,+251.05%,,4.3040000000000036e-07,,+201.40%,

shortname: semver-ValidateVersionRangeFail
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
ValidateVersionRangeFail,5.875e-07,2%,2.571e-06,2%,+337.62%,p=0.008 n=5,2.243e-06,3%,+281.79%,p=0.008 n=5
geomean,5.875e-07,,2.5709999999999983e-06,,+337.62%,,2.243000000000001e-06,,+281.79%,

shortname: shopify_sarama-ZstdMemoryConsumption%2Fno_drain
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
ZstdMemoryConsumption,0.00042860900000000004,1%,0.005450624,1%,+1171.70%,p=0.008 n=5,0.002320293,1%,+441.35%,p=0.008 n=5
geomean,0.000428609,,0.005450623999999998,,+1171.70%,,0.0023202929999999997,,+441.35%,

shortname: shopify_sarama-_getMetricNameForTopic
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
_getMetricNameForTopic,8.98e-08,3%,2.798e-07,5%,+211.58%,p=0.008 n=5,2.045e-07,1%,+127.73%,p=0.008 n=5
geomean,8.980000000000008e-08,,2.7980000000000006e-07,,+211.58%,,2.0450000000000004e-07,,+127.73%,

shortname: thriftrw_gen-RoundTrip%2FContainersOfContainers%2FDecode
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
RoundTrip,4.2881000000000005e-05,1%,0.00021134700000000002,1%,+392.87%,p=0.008 n=5,0.00016541800000000002,2%,+285.76%,p=0.008 n=5
geomean,4.288100000000003e-05,,0.00021134699999999986,,+392.87%,,0.00016541800000000013,,+285.76%,

shortname: thriftrw_gen-RoundTrip%2FContainersOfContainers%2FEncode
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
RoundTrip,1.8372e-05,6%,0.000117942,1%,+541.97%,p=0.008 n=5,9.346400000000001e-05,3%,+408.73%,p=0.008 n=5
geomean,1.8371999999999993e-05,,0.0001179420000000001,,+541.97%,,9.346400000000007e-05,,+408.73%,

shortname: thriftrw_gen-RoundTrip%2FPrimitiveOptionalStruct%2FStreaming_Decode
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
RoundTrip,8.292000000000001e-07,2%,6.093000000000001e-06,0%,+634.80%,p=0.008 n=5,5.355e-06,2%,+545.80%,p=0.008 n=5
geomean,8.291999999999996e-07,,6.0930000000000025e-06,,+634.80%,,5.355e-06,,+545.80%,

shortname: uber_zap-JSONLogMarshalerFunc
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
JSONLogMarshalerFunc,4.2600000000000003e-07,1%,1.508e-06,3%,+253.99%,p=0.008 n=5,1.247e-06,2%,+192.72%,p=0.008 n=5
geomean,4.259999999999997e-07,,1.5079999999999987e-06,,+253.99%,,1.247000000000001e-06,,+192.72%,

shortname: uuid-New
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
New,9.125e-08,0%,9.425000000000001e-07,0%,+932.88%,p=0.008 n=5,8.044e-07,0%,+781.53%,p=0.008 n=5
geomean,9.125000000000013e-08,,9.425e-07,,+932.88%,,8.044000000000006e-07,,+781.53%,

shortname: uuid-UUID_MarshalJSON
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
UUID_MarshalJSON,2.8160000000000003e-07,1%,1.6760000000000001e-06,4%,+495.17%,p=0.008 n=5,1.3580000000000002e-06,2%,+382.24%,p=0.008 n=5
geomean,2.8160000000000014e-07,,1.6759999999999995e-06,,+495.17%,,1.3580000000000014e-06,,+382.24%,

shortname: uuid-UUID_UnmarshalJSON
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
UUID_UnmarshalJSON,7.562000000000001e-07,4%,3.422e-06,1%,+352.53%,p=0.008 n=5,2.421e-06,5%,+220.15%,p=0.008 n=5
geomean,7.561999999999995e-07,,3.4220000000000026e-06,,+352.53%,,2.421000000000001e-06,,+220.15%,

shortname: workiva_augmentedtree-AddItems
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
AddItems,0.000187304,0%,0.000348307,1%,+85.96%,p=0.008 n=5,0.00024517800000000003,1%,+30.90%,p=0.008 n=5
geomean,0.0001873040000000001,,0.00034830700000000007,,+85.96%,,0.0002451779999999999,,+30.90%,

shortname: workiva_avl-ImmutableInsert
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
ImmutableInsert,2.0560000000000003e-06,4%,1.469e-06,3%,-28.55%,p=0.008 n=5,1.382e-06,3%,-32.78%,p=0.008 n=5
geomean,2.0560000000000007e-06,,1.4690000000000007e-06,,-28.55%,,1.381999999999999e-06,,-32.78%,

shortname: workiva_bitarray-CompressedIntersects
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
CompressedIntersects,5.078e-08,1%,4.2530000000000003e-07,0%,+737.53%,p=0.008 n=5,3.684e-07,1%,+625.48%,p=0.008 n=5
geomean,5.077999999999996e-08,,4.2530000000000003e-07,,+737.53%,,3.6840000000000025e-07,,+625.48%,

shortname: workiva_hilbert-BulkUpdatePoints
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
BulkUpdatePoints,0.000277204,2%,0.0010977600000000001,0%,+296.01%,p=0.008 n=5,0.0009336860000000001,3%,+236.82%,p=0.008 n=5
geomean,0.0002772039999999998,,0.0010977600000000004,,+296.01%,,0.0009336860000000001,,+236.82%,

shortname: workiva_queue-PriorityQueue
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
PriorityQueue,5.679e-07,5%,2.108e-06,20%,+271.19%,p=0.008 n=5,2.154e-06,36%,+279.29%,p=0.008 n=5
geomean,5.679000000000004e-07,,2.1079999999999983e-06,,+271.19%,,2.1540000000000017e-06,,+279.29%,

shortname: workiva_rangetree-Apply
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
